query_idx,ef_true,RV_gauss,RV_rank,RV_hub
1730,2000,0.140969,0.342885,0.132909
3464,1600,0.151728,0.375569,0.129099
662,800,0.178305,0.417558,0.164715
6236,1300,0.0964845,0.267039,0.0826184
9488,350,0.191509,0.435124,0.17418
2113,50,0.42268,0.711757,0.416651
457,100,0.274755,0.516349,0.261631
2411,50,0.272772,0.5586,0.25788
3127,50,0.45973,0.756133,0.440516
758,200,0.19692,0.449871,0.189365
3863,50,0.432649,0.75299,0.418764
7848,1300,0.173473,0.423873,0.155891
1537,1800,0.103965,0.282713,0.0949736
8819,50,0.511018,0.756935,0.504517
3537,2000,0.13283,0.34681,0.117938
2606,50,0.310614,0.605675,0.295969
7810,2000,0.152406,0.344708,0.133518
8934,50,0.568413,0.804523,0.562847
5896,100,0.246227,0.482705,0.236498
6485,150,0.274467,0.577163,0.258431
2463,150,0.267047,0.52827,0.237771
9611,50,0.523366,0.804431,0.517775
8876,400,0.182224,0.43378,0.157883
4629,850,0.135866,0.342388,0.129932
5430,50,0.438754,0.729468,0.438232
1327,400,0.159897,0.373455,0.151344
3742,50,0.500641,0.754798,0.492327
409,2000,0.135285,0.333606,0.126802
3272,50,0.625015,0.845364,0.624888
1207,2000,0.116067,0.322942,0.109006
9981,50,0.409766,0.665882,0.401438
8017,100,0.331668,0.633995,0.313092
6689,150,0.320686,0.625922,0.302024
26,100,0.319531,0.590547,0.311524
9529,2000,0.172066,0.399827,0.159474
4768,50,0.601665,0.806775,0.599653
7856,600,0.173197,0.383573,0.164247
3287,2000,0.145755,0.344314,0.130278
2192,100,0.334592,0.635916,0.307296
7713,100,0.309188,0.577142,0.295255
7057,250,0.283943,0.561877,0.282041
3714,100,0.302218,0.546824,0.286253
9552,100,0.210013,0.456956,0.187033
1544,50,0.304676,0.597072,0.300006
3294,100,0.329044,0.618858,0.309033
1193,300,0.325884,0.623752,0.319446
4826,100,0.320353,0.610293,0.300583
2631,2000,0.202823,0.431644,0.197572
2111,50,0.511274,0.761219,0.504195
8093,1650,0.222825,0.491043,0.222631
4581,350,0.297249,0.543636,0.293357
5049,50,0.280149,0.566068,0.261824
5446,550,0.277576,0.519654,0.26482
8484,50,0.367413,0.650853,0.377272
3885,50,0.366409,0.618862,0.355688
5098,50,0.421745,0.702219,0.418366
8008,2000,0.257875,0.496144,0.236811
4623,50,0.447403,0.705899,0.440605
3733,1300,0.139873,0.349003,0.123982
7324,300,0.175228,0.403101,0.174189
6711,900,0.209594,0.464447,0.202831
2966,2000,0.239775,0.484457,0.233083
5217,100,0.30636,0.576386,0.293033
3812,50,0.274274,0.532271,0.264792
2822,200,0.24023,0.510021,0.224019
8276,150,0.272266,0.562798,0.264638
2987,50,0.531599,0.809612,0.521134
3868,2000,0.120231,0.302742,0.112715
1926,900,0.124389,0.325333,0.117151
1351,50,0.502445,0.768416,0.489169
2107,150,0.193793,0.417423,0.18112
3453,1200,0.184951,0.40932,0.16822
3674,50,0.325513,0.619585,0.314924
7538,450,0.176064,0.429072,0.171031
4350,200,0.24089,0.493852,0.224243
8998,1950,0.131711,0.315489,0.11287
5097,50,0.279941,0.580996,0.25856
2718,50,0.416029,0.696511,0.412354
4543,100,0.596422,0.802973,0.587039
8877,50,0.546178,0.795865,0.537393
2836,50,0.522716,0.751326,0.503755
8791,100,0.334594,0.627461,0.31634
2782,50,0.427018,0.710071,0.403399
1279,50,0.280371,0.567872,0.262746
6442,50,0.342459,0.621438,0.334185
1447,900,0.152706,0.367985,0.141732
2872,2000,0.176216,0.387105,0.158927
6269,100,0.313232,0.596848,0.30432
7302,50,0.556855,0.790636,0.550484
9793,300,0.297698,0.545766,0.275866
5191,50,0.467133,0.757853,0.451212
4608,2000,0.13985,0.358982,0.133213
1999,650,0.179793,0.422984,0.146347
1023,2000,0.110943,0.293513,0.0913463
9225,950,0.269444,0.538058,0.258316
2391,700,0.217777,0.454948,0.200591
1874,200,0.236449,0.492475,0.217813
9114,50,0.548441,0.779017,0.558681
8238,50,0.286062,0.578469,0.26798
4265,100,0.230343,0.509189,0.211839
