query_idx,ef_true,RV_gamma_0.1,RV_gamma_0.5,RV_gamma_1.0,RV_gamma_2.0,RV_gamma_5.0,RV_gamma_10.0,RV_gamma_20.0,RV_gamma_50.0,RV_gamma_100.0
1730,4200,0.1,0.1,0.1,0.1,0.2,0.4,0.0,0.0,0.0
3464,1600,0.1,0.1,0.1,0.1,0.2,0.4,0.6,0.0,0.0
662,800,0.1,0.1,0.1,0.2,0.2,0.4,0.6,0.0,0.0
6236,1300,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.0,0.0
9488,350,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.0,0.0
2113,50,0.3,0.3,0.4,0.4,0.5,0.7,0.8,0.0,0.0
457,100,0.2,0.2,0.2,0.3,0.4,0.6,0.8,0.0,0.0
2411,50,0.2,0.2,0.2,0.3,0.4,0.6,0.8,0.0,0.0
3127,50,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.9,0.0
758,200,0.1,0.1,0.1,0.2,0.3,0.5,0.4,0.0,0.0
3863,50,0.3,0.3,0.4,0.4,0.5,0.7,0.9,0.0,0.0
7848,1300,0.1,0.1,0.1,0.2,0.2,0.4,0.1,0.0,0.0
1537,1800,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.0,0.0
8819,50,0.3,0.3,0.4,0.5,0.7,0.9,0.9,0.9,0.0
3537,2250,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.0,0.0
2606,50,0.2,0.2,0.3,0.3,0.4,0.6,0.8,0.0,0.0
7810,2200,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.0,0.0
8934,50,0.4,0.4,0.4,0.5,0.7,0.9,0.9,0.0,0.0
5896,100,0.2,0.2,0.2,0.2,0.3,0.5,0.1,0.0,0.0
6485,150,0.2,0.2,0.2,0.3,0.4,0.6,0.8,0.0,0.0
2463,150,0.2,0.2,0.2,0.3,0.3,0.5,0.6,0.0,0.0
9611,50,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.9,0.0
8876,400,0.1,0.1,0.1,0.2,0.2,0.4,0.6,0.0,0.0
4629,850,0.1,0.1,0.1,0.1,0.2,0.4,0.0,0.0,0.0
5430,50,0.3,0.3,0.4,0.4,0.6,0.8,0.8,0.0,0.0
1327,400,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.0,0.0
3742,50,0.4,0.4,0.4,0.5,0.6,0.8,0.9,0.0,0.0
409,5000,0.1,0.1,0.1,0.1,0.2,0.4,0.3,0.0,0.0
3272,50,0.5,0.5,0.5,0.6,0.7,0.9,0.9,0.9,0.0
1207,3450,0.1,0.1,0.1,0.1,0.2,0.3,0.0,0.0,0.0
9981,50,0.2,0.3,0.3,0.4,0.6,0.8,0.9,0.0,0.0
8017,100,0.3,0.3,0.3,0.3,0.4,0.5,0.7,0.0,0.0
6689,150,0.2,0.3,0.3,0.3,0.4,0.6,0.7,0.0,0.0
26,100,0.2,0.3,0.3,0.3,0.4,0.5,0.7,0.0,0.0
9529,2950,0.1,0.1,0.1,0.2,0.3,0.5,0.4,0.0,0.0
