query_idx,ef_true,RV_gauss,RV_hub_05,RV_hub_10,RV_hub_20
1730,4200,0.140969,0.132909,0.124563,0.108456
3464,1600,0.151728,0.129099,0.110962,0.0860628
662,800,0.178305,0.164715,0.152446,0.131082
6236,1300,0.0964845,0.0826184,0.0728286,0.061786
9488,350,0.191509,0.17418,0.15946,0.135666
2113,50,0.42268,0.416651,0.407729,0.385205
457,100,0.274755,0.261631,0.248794,0.224417
2411,50,0.272772,0.25788,0.241378,0.208735
3127,50,0.45973,0.440516,0.42058,0.375674
758,200,0.19692,0.189365,0.180019,0.159741
3863,50,0.432649,0.418764,0.402995,0.365889
7848,1300,0.173473,0.155891,0.141477,0.119843
1537,1800,0.103965,0.0949736,0.0866669,0.0725102
8819,50,0.511018,0.504517,0.497709,0.484345
3537,2250,0.13283,0.117938,0.10591,0.0891917
2606,50,0.310614,0.295969,0.280865,0.252569
7810,2200,0.152406,0.133518,0.118074,0.0980225
8934,50,0.568413,0.562847,0.556031,0.539549
5896,100,0.246227,0.236498,0.226611,0.207266
6485,150,0.274467,0.258431,0.244301,0.222738
2463,150,0.267047,0.237771,0.214053,0.181699
9611,50,0.523366,0.517775,0.50842,0.477965
8876,400,0.182224,0.157883,0.138261,0.111372
4629,850,0.135866,0.129932,0.122515,0.10645
5430,50,0.438754,0.438232,0.434882,0.422912
1327,400,0.159897,0.151344,0.141501,0.120129
3742,50,0.500641,0.492327,0.48314,0.463182
409,5000,0.135285,0.126802,0.117397,0.0975839
3272,50,0.625015,0.624888,0.622098,0.610072
1207,3450,0.116067,0.109006,0.103361,0.0939784
9981,50,0.409766,0.401438,0.392254,0.375398
8017,100,0.331668,0.313092,0.295191,0.260822
6689,150,0.320686,0.302024,0.284895,0.257133
26,100,0.319531,0.311524,0.303579,0.287347
9529,2950,0.172066,0.159474,0.147998,0.129045
4768,50,0.601665,0.599653,0.596877,0.589899
7856,600,0.173197,0.164247,0.155635,0.139712
3287,2150,0.145755,0.130278,0.115822,0.0921441
2192,100,0.334592,0.307296,0.281804,0.23924
7713,100,0.309188,0.295255,0.280768,0.253194
7057,250,0.283943,0.282041,0.275646,0.255319
3714,100,0.302218,0.286253,0.269714,0.237971
9552,100,0.210013,0.187033,0.166318,0.132299
1544,50,0.304676,0.300006,0.294072,0.279806
3294,100,0.329044,0.309033,0.289114,0.251941
1193,300,0.325884,0.319446,0.309732,0.284323
4826,100,0.320353,0.300583,0.28161,0.244508
2631,2600,0.202823,0.197572,0.191622,0.178955
2111,50,0.511274,0.504195,0.495981,0.477515
8093,1650,0.222825,0.222631,0.221398,0.217341
4581,350,0.297249,0.293357,0.289185,0.281443
5049,50,0.280149,0.261824,0.245057,0.216503
5446,550,0.277576,0.26482,0.251974,0.227849
8484,50,0.367413,0.377272,0.384427,0.393658
