query_idx,ef_true,RV_unw,RV_rank_5,RV_rank_10
1730,50,0.314744,0.611708,0.727575
3464,50,0.309988,0.614573,0.71935
662,50,0.48292,0.77598,0.853298
6236,200,0.335457,0.645228,0.757369
9488,50,0.403351,0.71057,0.811476
2113,150,0.198888,0.432277,0.542995
457,50,0.301426,0.590499,0.699614
2411,50,0.365891,0.653796,0.745877
3127,200,0.161378,0.366343,0.469339
758,50,0.181541,0.443429,0.583701
3863,50,0.456531,0.712922,0.789235
7848,150,0.114504,0.304904,0.428447
1537,50,0.183766,0.438024,0.564702
8819,100,0.34347,0.603081,0.692769
3537,100,0.273734,0.531913,0.636351
2606,1050,0.176286,0.419373,0.544288
7810,50,0.293607,0.567624,0.678595
8934,50,0.297821,0.569511,0.669505
5896,150,0.205568,0.467017,0.591843
6485,250,0.169637,0.407601,0.53389
2463,50,0.181854,0.419942,0.545151
9611,100,0.155066,0.402583,0.538001
8876,50,0.489152,0.736296,0.805589
4629,50,0.390781,0.69922,0.802118
5430,150,0.17804,0.406522,0.520433
1327,50,0.18061,0.427864,0.551647
3742,150,0.225399,0.485533,0.59713
409,200,0.202736,0.445318,0.566216
3272,50,0.302083,0.587382,0.699534
1207,50,0.284719,0.536554,0.638519
9981,50,0.166223,0.374949,0.484835
8017,900,0.123442,0.319661,0.433185
6689,50,0.420151,0.711786,0.797111
26,50,0.27807,0.541647,0.646585
9529,100,0.161493,0.382441,0.500451
4768,50,0.232129,0.513281,0.643332
7856,50,0.280306,0.569102,0.684266
3287,50,0.286072,0.568862,0.68112
2192,50,0.327601,0.661732,0.783561
7713,50,0.216427,0.478337,0.605638
7057,50,0.194656,0.469438,0.605377
3714,150,0.134494,0.346927,0.47694
9552,150,0.183183,0.420716,0.53501
1544,50,0.280848,0.584946,0.703309
3294,50,0.43547,0.734631,0.819026
1193,50,0.178244,0.403106,0.514891
4826,400,0.134074,0.330722,0.44493
2631,50,0.205893,0.448006,0.561553
2111,50,0.393046,0.707695,0.806617
8093,150,0.145811,0.366162,0.488908
4581,50,0.249894,0.499092,0.605839
5049,50,0.274725,0.56387,0.675768
5446,150,0.164127,0.386579,0.503026
8484,50,0.14291,0.355893,0.471558
3885,50,0.378028,0.676666,0.772154
5098,50,0.291171,0.600753,0.723667
8008,50,0.162913,0.411687,0.545893
4623,50,0.321772,0.623372,0.733225
3733,50,0.177966,0.417046,0.535589
7324,100,0.236521,0.512085,0.633631
6711,200,0.140141,0.336152,0.450335
2966,50,0.326869,0.622914,0.735397
5217,100,0.236863,0.493184,0.60471
3812,50,0.127322,0.342745,0.472265
2822,100,0.190029,0.423124,0.533888
8276,50,0.17061,0.424507,0.559887
2987,100,0.226722,0.463062,0.563309
3868,50,0.392947,0.695303,0.789996
1926,350,0.108129,0.29413,0.410921
1351,50,0.290541,0.565607,0.674608
2107,50,0.23418,0.511871,0.637102
3453,50,0.397047,0.69993,0.783574
3674,250,0.195061,0.433993,0.55963
7538,300,0.0853971,0.266729,0.397194
4350,250,0.170311,0.418722,0.545002
8998,100,0.305112,0.591434,0.693725
5097,150,0.180328,0.404046,0.513264
2718,50,0.23534,0.512767,0.641104
4543,50,0.168377,0.382448,0.493483
8877,50,0.206975,0.431897,0.536016
2836,50,0.28747,0.602112,0.728209
